,Age,AnnualIncome,SpendingScore,Genre
0,56,84,61,Female
1,69,86,48,Male
2,46,41,19,Female
3,32,23,4,Male
4,60,76,35,Male
5,25,51,64,Female
6,38,111,49,Male
7,56,65,17,Female
8,36,120,44,Female
9,40,58,92,Male
10,28,38,30,Male
11,28,93,93,Female
12,41,73,46,Male
13,53,132,6,Male
14,57,46,99,Male
15,41,110,37,Female
16,20,102,24,Female
17,39,119,93,Male
18,19,66,46,Female
19,41,127,53,Female
20,61,76,95,Female
21,47,127,99,Female
22,55,72,60,Female
23,19,66,97,Male
24,38,26,63,Male
25,50,53,85,Male
26,29,16,32,Female
27,39,17,87,Female
28,61,127,33,Male
29,42,115,67,Female
30,66,127,18,Male
31,44,70,25,Male
32,59,95,95,Male
33,45,73,54,Female
34,33,127,58,Female
35,32,16,67,Male
36,64,16,46,Male
37,68,106,24,Male
38,61,68,32,Male
39,69,101,47,Female
40,20,115,86,Female
41,54,110,23,Male
42,68,111,66,Male
43,24,15,27,Female
44,38,33,2,Female
45,26,16,90,Male
46,56,67,17,Male
47,35,58,33,Male
48,21,104,9,Female
49,42,46,43,Female
50,31,84,48,Female
51,67,46,39,Male
52,26,133,93,Male
53,43,82,42,Female
54,19,69,26,Female
55,37,89,99,Male
56,45,70,50,Female
57,64,137,25,Female
58,24,31,24,Male
59,61,52,13,Female
60,25,38,60,Male
61,64,83,7,Male
62,52,130,57,Male
63,31,112,36,Male
64,34,84,45,Male
65,53,100,20,Male
66,67,25,65,Male
67,57,126,8,Female
68,21,30,16,Male
69,19,111,14,Male
70,23,87,76,Female
71,59,138,87,Female
72,21,73,15,Female
73,46,84,92,Male
74,35,94,98,Female
75,43,107,66,Male
76,61,17,32,Male
77,51,34,87,Male
78,27,138,63,Male
79,53,73,86,Female
80,31,50,51,Female
81,48,33,25,Male
82,65,104,58,Male
83,32,81,63,Male
84,25,33,62,Female
85,31,34,22,Male
86,40,110,58,Male
87,57,85,58,Female
88,38,66,86,Female
89,33,119,49,Male
90,62,47,52,Female
91,35,54,42,Female
92,64,53,70,Male
93,41,96,15,Female
94,43,118,54,Male
95,42,15,60,Female
96,62,25,97,Male
97,58,106,8,Male
98,46,71,53,Male
99,32,103,60,Female
100,62,64,5,Male
101,18,37,68,Female
102,42,45,6,Male
103,24,108,96,Male
104,26,56,94,Female
105,41,113,47,Male
106,18,21,99,Male
107,61,138,55,Female
108,25,30,40,Male
109,41,104,52,Male
110,28,126,16,Male
111,68,135,13,Male
112,34,130,30,Female
113,25,74,19,Female
114,52,127,17,Male
115,52,16,63,Female
116,50,15,19,Male
117,22,62,92,Female
118,59,26,58,Male
119,56,83,55,Male
120,58,51,90,Male
121,45,46,90,Male
122,24,137,62,Male
123,26,133,23,Male
124,25,23,9,Female
125,29,119,12,Male
126,51,113,1,Female
127,50,33,58,Male
128,65,62,1,Female
129,40,94,34,Female
130,41,17,96,Female
131,54,34,48,Male
132,52,38,89,Male
133,61,68,1,Female
134,57,134,16,Male
135,39,47,61,Female
136,44,38,64,Male
137,52,130,63,Female
138,18,89,69,Female
139,52,127,22,Male
140,54,86,93,Female
141,64,50,67,Male
142,31,52,76,Female
143,20,118,26,Female
144,18,98,16,Male
145,22,113,51,Male
146,43,126,86,Male
147,31,103,57,Female
148,56,113,29,Male
149,44,39,78,Female
150,26,107,92,Female
151,32,32,69,Male
152,32,124,47,Male
153,43,96,94,Female
154,59,80,62,Female
155,30,68,69,Male
156,68,49,76,Male
157,49,94,16,Male
158,56,75,90,Male
159,66,55,90,Male
160,69,114,48,Female
161,49,47,85,Female
162,21,82,39,Female
163,47,47,33,Female
164,54,28,94,Male
165,40,35,23,Male
166,56,62,10,Male
167,62,34,69,Female
168,32,134,34,Female
169,60,22,52,Male
170,46,21,95,Male
171,53,81,10,Female
172,30,31,19,Female
173,49,47,58,Male
174,24,62,96,Male
175,68,90,1,Female
176,39,73,69,Male
177,45,129,4,Male
178,19,100,16,Male
179,59,133,24,Female
180,62,36,80,Female
181,23,124,2,Female
182,45,44,92,Female
183,45,52,32,Female
184,61,116,91,Female
185,61,123,84,Female
186,37,65,24,Male
187,47,68,12,Male
188,28,22,50,Male
189,45,41,35,Male
190,42,41,33,Male
191,56,112,33,Male
192,50,35,61,Male
193,18,44,51,Female
194,44,111,43,Female
195,69,42,12,Male
196,30,125,67,Male
197,58,78,65,Female
198,20,111,33,Male
199,56,83,40,Male
